Occupation,Domain,직무내용,업무수행능력,지식중요도,적성,핵심능력,관련학과,occupation_text_main,occupation_text_expanded
클라우드 시스템 엔지니어,Computing,"클라우드 시스템 엔지니어는 인터넷의 서버에 각종 컴퓨터 프로그램을 올려 놓고 여러 이용자들이 인터넷에 접속하여 데이터를 저장하고 처리할 수 있는 기술을 개발합니다.
‘클라우드(cloud)’는 인터넷에 존재하는 클라우드 인프라 위에서 작동되는 소프트웨어를 이용해 컴퓨터 자원을 사용하거나, 자료를 저장하거나, 새로운 애플리케이션을 개발하는 가상의 환경을 말합니다.
클라우드 기술을 통해 우리는 인터넷 공간에 프로그램과 데이터를 저장해 두고 언제 어디서나 필요할 때마다 다양한 기기(컴퓨터/핸드폰/태블릿피시)를 통해 편리하게 사용할 수 있습니다.
고객 회사가 각자 가지고 있는 시스템과 응용 소프트웨어를 분석하여, 고객 회사의 시스템이 클라우드 환경으로 자연스럽게 바뀔 수 있도록 기술지원을 제공합니다.",,,"컴퓨터 통신망을 논리적이고 체계적으로 만들기 위해 수리·논리력이 필요합니다.
데이터나 프로그램의 구성을 파악하고 개발하기 위한 공간지각력이 필요합니다.","수리·논리력
공간지각력","IT융합학과
교양공학부
모바일시스템공학과
소프트웨어공학과
정보통신공학과
컴퓨터공학과
컴퓨터과학과","클라우드 시스템 엔지니어는 인터넷의 서버에 각종 컴퓨터 프로그램을 올려 놓고 여러 이용자들이 인터넷에 접속하여 데이터를 저장하고 처리할 수 있는 기술을 개발합니다.
‘클라우드(cloud)’는 인터넷에 존재하는 클라우드 인프라 위에서 작동되는 소프트웨어를 이용해 컴퓨터 자원을 사용하거나, 자료를 저장하거나, 새로운 애플리케이션을 개발하는 가상의 환경을 말합니다.
클라우드 기술을 통해 우리는 인터넷 공간에 프로그램과 데이터를 저장해 두고 언제 어디서나 필요할 때마다 다양한 기기(컴퓨터/핸드폰/태블릿피시)를 통해 편리하게 사용할 수 있습니다.
고객 회사가 각자 가지고 있는 시스템과 응용 소프트웨어를 분석하여, 고객 회사의 시스템이 클라우드 환경으로 자연스럽게 바뀔 수 있도록 기술지원을 제공합니다.","클라우드 시스템 엔지니어는 인터넷의 서버에 각종 컴퓨터 프로그램을 올려 놓고 여러 이용자들이 인터넷에 접속하여 데이터를 저장하고 처리할 수 있는 기술을 개발합니다.
‘클라우드(cloud)’는 인터넷에 존재하는 클라우드 인프라 위에서 작동되는 소프트웨어를 이용해 컴퓨터 자원을 사용하거나, 자료를 저장하거나, 새로운 애플리케이션을 개발하는 가상의 환경을 말합니다.
클라우드 기술을 통해 우리는 인터넷 공간에 프로그램과 데이터를 저장해 두고 언제 어디서나 필요할 때마다 다양한 기기(컴퓨터/핸드폰/태블릿피시)를 통해 편리하게 사용할 수 있습니다.
고객 회사가 각자 가지고 있는 시스템과 응용 소프트웨어를 분석하여, 고객 회사의 시스템이 클라우드 환경으로 자연스럽게 바뀔 수 있도록 기술지원을 제공합니다.  "
시스템소프트웨어개발자,Computing,"시스템소프트웨어개발자는 컴퓨터를 작동시키고 각 부품의 활동을 조정, 통제, 관리하는 윈도우, 맥, 리눅스와 같은 오퍼레이팅시스템 소프트웨어를 연구, 개발, 설계하는 일을 합니다.
국내외의 시장을 조사하고 경쟁기업의 제품 및 소프트웨어 업계의 기술 변화 등을 분석하여 새로운 기능과 성능을 갖춘 시스템소프트웨어를 기획하고 개발합니다.
개발된 시스템소프트웨어를 컴퓨터에 설치 및 시험 운영하여 시스템소프트웨어의 기능과 성능을 평가하고 분석합니다.
시스템소프트웨어에 대한 사용자 교육과 기술에 대한 전문적인 조언을 하고 새로운 시스템소프트웨어 관련 기술을 조사하고 연구합니다.","기술 설계
전산
기술 분석
설치
품질관리분석
문제 해결
논리적 분석
조작 및 통제
추리력
고장의 발견.수리","통신
컴퓨터와 전자공학
산수와 수학
영어
공학과 기술
디자인",컴퓨터시스템에 대한 전문 지식을 바탕으로 프로그래밍을 수행할 수 있는 수리·논리력이 필요합니다.,수리·논리력,"컴퓨터공학과
시스템공학과
컴퓨터응용기계과
정보통신공학과
소프트웨어공학과","시스템소프트웨어개발자는 컴퓨터를 작동시키고 각 부품의 활동을 조정, 통제, 관리하는 윈도우, 맥, 리눅스와 같은 오퍼레이팅시스템 소프트웨어를 연구, 개발, 설계하는 일을 합니다.
국내외의 시장을 조사하고 경쟁기업의 제품 및 소프트웨어 업계의 기술 변화 등을 분석하여 새로운 기능과 성능을 갖춘 시스템소프트웨어를 기획하고 개발합니다.
개발된 시스템소프트웨어를 컴퓨터에 설치 및 시험 운영하여 시스템소프트웨어의 기능과 성능을 평가하고 분석합니다.
시스템소프트웨어에 대한 사용자 교육과 기술에 대한 전문적인 조언을 하고 새로운 시스템소프트웨어 관련 기술을 조사하고 연구합니다.","시스템소프트웨어개발자는 컴퓨터를 작동시키고 각 부품의 활동을 조정, 통제, 관리하는 윈도우, 맥, 리눅스와 같은 오퍼레이팅시스템 소프트웨어를 연구, 개발, 설계하는 일을 합니다.
국내외의 시장을 조사하고 경쟁기업의 제품 및 소프트웨어 업계의 기술 변화 등을 분석하여 새로운 기능과 성능을 갖춘 시스템소프트웨어를 기획하고 개발합니다.
개발된 시스템소프트웨어를 컴퓨터에 설치 및 시험 운영하여 시스템소프트웨어의 기능과 성능을 평가하고 분석합니다.
시스템소프트웨어에 대한 사용자 교육과 기술에 대한 전문적인 조언을 하고 새로운 시스템소프트웨어 관련 기술을 조사하고 연구합니다. 기술 설계
전산
기술 분석
설치
품질관리분석
문제 해결
논리적 분석
조작 및 통제
추리력
고장의 발견.수리 통신
컴퓨터와 전자공학
산수와 수학
영어
공학과 기술
디자인"
정보시스템운영자,Computing,"정보시스템운영자는 기업이나 기관에서 운영하고 있는 정보시스템을 안전하고 체계적으로 운영 및 관리하고 사용자들에게 서비스를 제공하는 일을 합니다.
정보시스템의 하드웨어나 네트워크 장비는 외부 환경에 영향을 받기 쉬우므로 전산실 내부의 온도, 습도, 먼지 등을 체크하고 쾌적하게 유지될 수 있도록 합니다.
정보시스템의 사용자에 대한 등록 및 삭제에 대한 관리와 각 기능별 사용 권한을 주거나, 시스템 내의 정보를 외부로부터 보호하기 위해 기술적 장치를 마련하고 정기적으로 데이터를 원래 상태로 복구할 수 있는 형태로 보관합니다.
시스템을 운영하면서 문제점이나 오류 및 고장이 발생하면, 즉시 원인을 파악하여 시스템을 빠른 시간 내에 복구합니다.","전산
조직체계의 분석 및 평가
조작 및 통제
기술 분석
기술 설계
장비의 유지
고장의 발견•수리
품질관리분석
모니터링(Monitoring)
설치","통신
컴퓨터와 전자공학
안전과 보안","각종 컴퓨터 운영체제(OS: Operating System)와 소프트웨어, 정보시스템 구성에 대한 기술적 지식을 가지고 전체 시스템을 논리적이고 체계적으로 운영할 수 있는 수리·논리력이 필요합니다.",수리·논리력,"시스템공학과
시스템경영공학과
컴퓨터공학과
정보통신공학과","정보시스템운영자는 기업이나 기관에서 운영하고 있는 정보시스템을 안전하고 체계적으로 운영 및 관리하고 사용자들에게 서비스를 제공하는 일을 합니다.
정보시스템의 하드웨어나 네트워크 장비는 외부 환경에 영향을 받기 쉬우므로 전산실 내부의 온도, 습도, 먼지 등을 체크하고 쾌적하게 유지될 수 있도록 합니다.
정보시스템의 사용자에 대한 등록 및 삭제에 대한 관리와 각 기능별 사용 권한을 주거나, 시스템 내의 정보를 외부로부터 보호하기 위해 기술적 장치를 마련하고 정기적으로 데이터를 원래 상태로 복구할 수 있는 형태로 보관합니다.
시스템을 운영하면서 문제점이나 오류 및 고장이 발생하면, 즉시 원인을 파악하여 시스템을 빠른 시간 내에 복구합니다.","정보시스템운영자는 기업이나 기관에서 운영하고 있는 정보시스템을 안전하고 체계적으로 운영 및 관리하고 사용자들에게 서비스를 제공하는 일을 합니다.
정보시스템의 하드웨어나 네트워크 장비는 외부 환경에 영향을 받기 쉬우므로 전산실 내부의 온도, 습도, 먼지 등을 체크하고 쾌적하게 유지될 수 있도록 합니다.
정보시스템의 사용자에 대한 등록 및 삭제에 대한 관리와 각 기능별 사용 권한을 주거나, 시스템 내의 정보를 외부로부터 보호하기 위해 기술적 장치를 마련하고 정기적으로 데이터를 원래 상태로 복구할 수 있는 형태로 보관합니다.
시스템을 운영하면서 문제점이나 오류 및 고장이 발생하면, 즉시 원인을 파악하여 시스템을 빠른 시간 내에 복구합니다. 전산
조직체계의 분석 및 평가
조작 및 통제
기술 분석
기술 설계
장비의 유지
고장의 발견•수리
품질관리분석
모니터링(Monitoring)
설치 통신
컴퓨터와 전자공학
안전과 보안"
인공지능 엔지니어,Stats/Data/AI,"인공지능 엔지니어는 기계 데이터를 기반으로 학습하여 인식, 추론, 판단, 분류, 예측할 수 있도록 최적의 학습모델(알고리즘)을 구현합니다.
텍스트, 음성, 이미지, 영상 데이터를 정리하고 전처리합니다.
머신러닝·딥러닝 알고리즘을 설계·학습시키고 문제를 해결합니다.
AI 모델을 설계하고, 데이터를 수집 및 가공하며, 모델을 학습하고 성능을 개선합니다.","기술 분석
전산
기술 설계
조직체계의 분석 및 평가
추리력
조작 및 통제
설치
품질관리분석
장비의 유지
수리력","컴퓨터와 전자공학
공학과 기술
산수와 수학
통신","인공지능 모델은 수학 공식으로 만들어지기 때문에, 수학 기호의 의미를 알고 말할 수 있어야 합니다.
데이터의 평면 그래프를 보고 실제 3차원 공간에서 어떻게 움직일지 상상해야 로봇 동작을 예측할 수 있습니다. 전개도를 보고 입체도형을 생각할 수 있어야 합니다.","수리·논리력
공간지각력","컴퓨터공학과
전자공학과
응용소프트웨어공학과
수학과
통계학과","인공지능 엔지니어는 기계 데이터를 기반으로 학습하여 인식, 추론, 판단, 분류, 예측할 수 있도록 최적의 학습모델(알고리즘)을 구현합니다.
텍스트, 음성, 이미지, 영상 데이터를 정리하고 전처리합니다.
머신러닝·딥러닝 알고리즘을 설계·학습시키고 문제를 해결합니다.
AI 모델을 설계하고, 데이터를 수집 및 가공하며, 모델을 학습하고 성능을 개선합니다.","인공지능 엔지니어는 기계 데이터를 기반으로 학습하여 인식, 추론, 판단, 분류, 예측할 수 있도록 최적의 학습모델(알고리즘)을 구현합니다.
텍스트, 음성, 이미지, 영상 데이터를 정리하고 전처리합니다.
머신러닝·딥러닝 알고리즘을 설계·학습시키고 문제를 해결합니다.
AI 모델을 설계하고, 데이터를 수집 및 가공하며, 모델을 학습하고 성능을 개선합니다. 기술 분석
전산
기술 설계
조직체계의 분석 및 평가
추리력
조작 및 통제
설치
품질관리분석
장비의 유지
수리력 컴퓨터와 전자공학
공학과 기술
산수와 수학
통신"
데이터마이너,Stats/Data/AI,"데이터마이너는 데이터를 원하는 형태로 바꾸고 분석해서 필요한 정보를 찾아냅니다.
정보를 분석하는 소프트웨어를 통해 데이터를 다양한 차원과 관점에서 분류하고 요약하고 분석합니다.
데이터마이닝을 하기에 앞서 목적을 파악하고, 어떤 형식으로 데이터마이닝을 할지 결정한 다음 필요한 데이터를 결정하고, 분석 목적에 맞는 형태로 데이터를 바꿉니다.
데이터마이닝을 실행하여 필요한 정보를 찾아낸 뒤, 그 결과가 유용한지 판단하고, 분석을 통해 데이터에 오류가 있지는 않은지 알아내기도 합니다.
학문적인 이론이나 상식과 관계없이 순수하게 데이터의 연관성을 분석합니다.",,,유용한 데이터와 정보를 파악하고 분석하기 위한 수리·논리력이 필요합니다.,수리·논리력,"IT융합학과
인터넷정보학과
컴퓨터공학과","데이터마이너는 데이터를 원하는 형태로 바꾸고 분석해서 필요한 정보를 찾아냅니다.
정보를 분석하는 소프트웨어를 통해 데이터를 다양한 차원과 관점에서 분류하고 요약하고 분석합니다.
데이터마이닝을 하기에 앞서 목적을 파악하고, 어떤 형식으로 데이터마이닝을 할지 결정한 다음 필요한 데이터를 결정하고, 분석 목적에 맞는 형태로 데이터를 바꿉니다.
데이터마이닝을 실행하여 필요한 정보를 찾아낸 뒤, 그 결과가 유용한지 판단하고, 분석을 통해 데이터에 오류가 있지는 않은지 알아내기도 합니다.
학문적인 이론이나 상식과 관계없이 순수하게 데이터의 연관성을 분석합니다.","데이터마이너는 데이터를 원하는 형태로 바꾸고 분석해서 필요한 정보를 찾아냅니다.
정보를 분석하는 소프트웨어를 통해 데이터를 다양한 차원과 관점에서 분류하고 요약하고 분석합니다.
데이터마이닝을 하기에 앞서 목적을 파악하고, 어떤 형식으로 데이터마이닝을 할지 결정한 다음 필요한 데이터를 결정하고, 분석 목적에 맞는 형태로 데이터를 바꿉니다.
데이터마이닝을 실행하여 필요한 정보를 찾아낸 뒤, 그 결과가 유용한지 판단하고, 분석을 통해 데이터에 오류가 있지는 않은지 알아내기도 합니다.
학문적인 이론이나 상식과 관계없이 순수하게 데이터의 연관성을 분석합니다.  "
빅 데이터 전문가,Stats/Data/AI,"빅 데이터 전문가는 대량의 빅 데이터로 사람들의 행동이나 시장의 변화 등을 분석하는 데 도움이 되는 정보를 제공합니다.
구체적으로는 데이터 수집, 데이터 저장 및 분석, 데이터 시각화 등을 통한 정보 제공을 담당합니다.
실시간으로 데이터를 수집·저장·분석하고 시각화하여 의미 있는 분석 결과를 도출하기도 합니다.
빅 데이터와 관련된 새로운 기술, 유행 등을 수시로 파악합니다","수리력
전산
논리적 분석
추리력
기술 분석
창의력
범주화
조직체계의 분석 및 평가
읽고 이해하기
글쓰기","산수와 수학
컴퓨터와 전자공학
사회와 인류
영어
국어
통신","통계적인 이론과 복잡한 프로그램에 대한 이해력뿐만 아니라 다양한 관점에서 문제를 의식하는 수리·논리력이 필요합니다.
데이터의 구조를 이해하고 분석하고자 하는 문제의 시각화를 위해 공간지각력이 필요합니다.","수리·논리력
공간지각력","IT융합학과
교양공학부
소프트웨어공학과
정보통신공학과
컴퓨터공학과
컴퓨터과
컴퓨터과학과
컴퓨터소프트웨어과
통계학과","빅 데이터 전문가는 대량의 빅 데이터로 사람들의 행동이나 시장의 변화 등을 분석하는 데 도움이 되는 정보를 제공합니다.
구체적으로는 데이터 수집, 데이터 저장 및 분석, 데이터 시각화 등을 통한 정보 제공을 담당합니다.
실시간으로 데이터를 수집·저장·분석하고 시각화하여 의미 있는 분석 결과를 도출하기도 합니다.
빅 데이터와 관련된 새로운 기술, 유행 등을 수시로 파악합니다","빅 데이터 전문가는 대량의 빅 데이터로 사람들의 행동이나 시장의 변화 등을 분석하는 데 도움이 되는 정보를 제공합니다.
구체적으로는 데이터 수집, 데이터 저장 및 분석, 데이터 시각화 등을 통한 정보 제공을 담당합니다.
실시간으로 데이터를 수집·저장·분석하고 시각화하여 의미 있는 분석 결과를 도출하기도 합니다.
빅 데이터와 관련된 새로운 기술, 유행 등을 수시로 파악합니다 수리력
전산
논리적 분석
추리력
기술 분석
창의력
범주화
조직체계의 분석 및 평가
읽고 이해하기
글쓰기 산수와 수학
컴퓨터와 전자공학
사회와 인류
영어
국어
통신"
경영컨설턴트,Business/Economics,"경영컨설턴트는 경영과 경제에 대한 지식을 바탕으로 기업경영에 관한 문제점을 분석하고 대책을 연구하며, 사업 추진에 관한 상담과 자문을 제공합니다.
기업의 인사, 조직, 노무, 사무관리에 대한 진단과 지도를 돕고, 효율적인 경영을 위해 재무관리와 회계에 대한 진단과 지도를 돕습니다.
기업경영 전반에 대한 상담, 자문, 분석, 평가, 확인, 대행 등을 수행합니다.
물품의 생산, 유통관리, 판매관리 및 수출입 업무에 대해 상담하고 자문하며, 조사하고 분석합니다.
기업으로부터 컨설팅 업무를 위탁받기 위해서는 관련 프로젝트를 수주받는 것이 일반적이며 프로젝트 제안서를 작성하고 발표합니다.","협상
설득
재정 관리
시간 관리
판단과 의사결정
논리적 분석
인적자원 관리
서비스 지향
조직체계의 분석 및 평가
사람 파악","경제와 회계
경영 및 행정
인사
교육 및 훈련
영업과 마케팅
상담
의사소통과 미디어
식품생산
사무
법",기업경영 관련 상담에서 적절한 단어를 사용할 수 있고 논리적으로 생각을 말로 표현할 수 있는 능력과 다양한 정보를 근거로 새로운 결론을 이끌어낼 수 있는 수리·논리력이 필요합니다.,수리·논리력,"세무학과
경영학과
경제학과
교육학과
국제통상학과
무역학과
산업공학과
심리학과
회계학과","경영컨설턴트는 경영과 경제에 대한 지식을 바탕으로 기업경영에 관한 문제점을 분석하고 대책을 연구하며, 사업 추진에 관한 상담과 자문을 제공합니다.
기업의 인사, 조직, 노무, 사무관리에 대한 진단과 지도를 돕고, 효율적인 경영을 위해 재무관리와 회계에 대한 진단과 지도를 돕습니다.
기업경영 전반에 대한 상담, 자문, 분석, 평가, 확인, 대행 등을 수행합니다.
물품의 생산, 유통관리, 판매관리 및 수출입 업무에 대해 상담하고 자문하며, 조사하고 분석합니다.
기업으로부터 컨설팅 업무를 위탁받기 위해서는 관련 프로젝트를 수주받는 것이 일반적이며 프로젝트 제안서를 작성하고 발표합니다.","경영컨설턴트는 경영과 경제에 대한 지식을 바탕으로 기업경영에 관한 문제점을 분석하고 대책을 연구하며, 사업 추진에 관한 상담과 자문을 제공합니다.
기업의 인사, 조직, 노무, 사무관리에 대한 진단과 지도를 돕고, 효율적인 경영을 위해 재무관리와 회계에 대한 진단과 지도를 돕습니다.
기업경영 전반에 대한 상담, 자문, 분석, 평가, 확인, 대행 등을 수행합니다.
물품의 생산, 유통관리, 판매관리 및 수출입 업무에 대해 상담하고 자문하며, 조사하고 분석합니다.
기업으로부터 컨설팅 업무를 위탁받기 위해서는 관련 프로젝트를 수주받는 것이 일반적이며 프로젝트 제안서를 작성하고 발표합니다. 협상
설득
재정 관리
시간 관리
판단과 의사결정
논리적 분석
인적자원 관리
서비스 지향
조직체계의 분석 및 평가
사람 파악 경제와 회계
경영 및 행정
인사
교육 및 훈련
영업과 마케팅
상담
의사소통과 미디어
식품생산
사무
법"
투자분석가(애널리스트),Business/Economics,"투자분석가는 자신의 회사 혹은 회사의 고객들에게 금융 및 투자자문을 제공하기 위해 금융시장 정보를 수집, 분석합니다.
매일의 주식 및 경제 예측, 거래량, 금융 잡지, 증권 편람, 회사 재무제표 등과 출판물을 이용하여 회사, 주식, 채권 및 기타 투자에 대한 정보를 수집합니다.
거시경제 흐름이나 산업별 동향을 분석하고 기업의 경영, 재무 여건, 성장 가능성 등 투자의 방향성을 제시해 줍니다.","수리력
판단과 의사결정
선택적 집중력
논리적 분석","경제와 회계
경영 및 행정
산수와 수학
영업과 마케팅
사무
고객서비스
의사소통과 미디어
상담
인사","수학적 사고능력과 거시경제를 읽을 수 있는 능력이 필요하고, 통계자료의 도표나 그래프를 이해할 수 있는 수리·논리력이 필요합니다.",수리·논리력,"경영학과
경제학과
국제통상학과
금융경영과
금융보험학과
세무학과
통계학과
회계학과","투자분석가는 자신의 회사 혹은 회사의 고객들에게 금융 및 투자자문을 제공하기 위해 금융시장 정보를 수집, 분석합니다.
매일의 주식 및 경제 예측, 거래량, 금융 잡지, 증권 편람, 회사 재무제표 등과 출판물을 이용하여 회사, 주식, 채권 및 기타 투자에 대한 정보를 수집합니다.
거시경제 흐름이나 산업별 동향을 분석하고 기업의 경영, 재무 여건, 성장 가능성 등 투자의 방향성을 제시해 줍니다.","투자분석가는 자신의 회사 혹은 회사의 고객들에게 금융 및 투자자문을 제공하기 위해 금융시장 정보를 수집, 분석합니다.
매일의 주식 및 경제 예측, 거래량, 금융 잡지, 증권 편람, 회사 재무제표 등과 출판물을 이용하여 회사, 주식, 채권 및 기타 투자에 대한 정보를 수집합니다.
거시경제 흐름이나 산업별 동향을 분석하고 기업의 경영, 재무 여건, 성장 가능성 등 투자의 방향성을 제시해 줍니다. 수리력
판단과 의사결정
선택적 집중력
논리적 분석 경제와 회계
경영 및 행정
산수와 수학
영업과 마케팅
사무
고객서비스
의사소통과 미디어
상담
인사"
IT컨설턴트,Business/Economics,"IT컨설턴트는 기업의 인적, 물적 자원 및 모든 조건에 관련된 자료를 수집 및 분석하고, 최근의 기술과 활용 가능한 자원, 현재 상태를 고려해 시스템을 만들기 위한 전문적인 조언이나 자문을 하는 일을 합니다.
이미 만들어진 정보시스템을 통해 경영상의 개선 효과, 시스템의 효율성 등에 대해 평가를 실시하고 시스템의 운용과 유지, 관리에 대한 조언을 합니다.
현재의 정보시스템을 완전히 교체하기 위해 새로운 시스템을 전면적으로 개발하는 경우, 국내나 국외의 비슷한 시스템에 대해 비교, 분석하며, 필요한 시스템 구성 방안이나 예산을 세우고 시스템이 만들어졌을 때 기대되는 효과를 분석합니다.
정보시스템 개발 프로젝트 진행 사항에 대한 점검을 하고 개발 중인 시스템에 대한 기획 단계와 프로그램 개발 단계 등 각 과정에 대해 감리하며, 개발 요구 사항에 맞게 진행되고 있는지를 확인하고 평가합니다.
기업이 업무 효율성과 생산성을 높이는 정보시스템을 만들고 운영할 수 있도록 기획과 시스템 구축 방안, 운영 방법 등에 대한 전문적인 조언을 합니다.","인적자원 관리
물적자원 관리
조직체계의 분석 및 평가
재정 관리
협상
유연성 및 균형
반응시간과 속도
청력
품질관리분석
설득","경제와 회계
인사
사무
영어
경영 및 행정
컴퓨터와 전자공학
통신","정보시스템을 평가하고 운영 방향을 제시하기 위해 관련된 전문 지식과 법, 제도에 대한 폭넓은 지식을 논리적으로 정리할 수 있는 수리·논리력이 필요합니다.",수리·논리력,"인터넷정보학과
정보통신과
정보통신공학과
경영정보과
경영학과
스마트정보과
정보보호학과","IT컨설턴트는 기업의 인적, 물적 자원 및 모든 조건에 관련된 자료를 수집 및 분석하고, 최근의 기술과 활용 가능한 자원, 현재 상태를 고려해 시스템을 만들기 위한 전문적인 조언이나 자문을 하는 일을 합니다.
이미 만들어진 정보시스템을 통해 경영상의 개선 효과, 시스템의 효율성 등에 대해 평가를 실시하고 시스템의 운용과 유지, 관리에 대한 조언을 합니다.
현재의 정보시스템을 완전히 교체하기 위해 새로운 시스템을 전면적으로 개발하는 경우, 국내나 국외의 비슷한 시스템에 대해 비교, 분석하며, 필요한 시스템 구성 방안이나 예산을 세우고 시스템이 만들어졌을 때 기대되는 효과를 분석합니다.
정보시스템 개발 프로젝트 진행 사항에 대한 점검을 하고 개발 중인 시스템에 대한 기획 단계와 프로그램 개발 단계 등 각 과정에 대해 감리하며, 개발 요구 사항에 맞게 진행되고 있는지를 확인하고 평가합니다.
기업이 업무 효율성과 생산성을 높이는 정보시스템을 만들고 운영할 수 있도록 기획과 시스템 구축 방안, 운영 방법 등에 대한 전문적인 조언을 합니다.","IT컨설턴트는 기업의 인적, 물적 자원 및 모든 조건에 관련된 자료를 수집 및 분석하고, 최근의 기술과 활용 가능한 자원, 현재 상태를 고려해 시스템을 만들기 위한 전문적인 조언이나 자문을 하는 일을 합니다.
이미 만들어진 정보시스템을 통해 경영상의 개선 효과, 시스템의 효율성 등에 대해 평가를 실시하고 시스템의 운용과 유지, 관리에 대한 조언을 합니다.
현재의 정보시스템을 완전히 교체하기 위해 새로운 시스템을 전면적으로 개발하는 경우, 국내나 국외의 비슷한 시스템에 대해 비교, 분석하며, 필요한 시스템 구성 방안이나 예산을 세우고 시스템이 만들어졌을 때 기대되는 효과를 분석합니다.
정보시스템 개발 프로젝트 진행 사항에 대한 점검을 하고 개발 중인 시스템에 대한 기획 단계와 프로그램 개발 단계 등 각 과정에 대해 감리하며, 개발 요구 사항에 맞게 진행되고 있는지를 확인하고 평가합니다.
기업이 업무 효율성과 생산성을 높이는 정보시스템을 만들고 운영할 수 있도록 기획과 시스템 구축 방안, 운영 방법 등에 대한 전문적인 조언을 합니다. 인적자원 관리
물적자원 관리
조직체계의 분석 및 평가
재정 관리
협상
유연성 및 균형
반응시간과 속도
청력
품질관리분석
설득 경제와 회계
인사
사무
영어
경영 및 행정
컴퓨터와 전자공학
통신"
산업공학기술자,Industrial Engineering,"산업공학기술자는 기업경영에 대하여 사회과학적 전문 지식과 자연과학적 원리를 응용하여 경영의 여러 요소를 과학적으로 분석하고 조정하는 업무를 수행합니다.
생산을 위한 최적의 수준을 결정하고 기계, 원자재, 자원의 최적 활용을 위한 프로그램을 실행합니다.
경영 기획, 기술 전략, 경영 정보 시스템 분야 등에서 회사에 영향을 끼치는 다양한 요인들을 분석하고 사업전략과 경영관리 방법을 모색합니다.
시설을 계획하고 설계하며 새로운 기계, 설비를 연구하고 적용합니다.",,,"각 산업 조직의 특성을 파악하기 위해서 논리적으로 사고하여 문제를 해결하는 수리·논리력이 필요합니다.
시설을 계획하고 설계해야 하므로 입체적인 물체의 위치나 모습을 상상하여 떠올릴 수 있는 능력인 공간지각력이 필요합니다.","수리·논리력
공간지각력","전기전자공학과
기계설계공학과
기계공학과
산업공학과
전기공학과
안전공학과","산업공학기술자는 기업경영에 대하여 사회과학적 전문 지식과 자연과학적 원리를 응용하여 경영의 여러 요소를 과학적으로 분석하고 조정하는 업무를 수행합니다.
생산을 위한 최적의 수준을 결정하고 기계, 원자재, 자원의 최적 활용을 위한 프로그램을 실행합니다.
경영 기획, 기술 전략, 경영 정보 시스템 분야 등에서 회사에 영향을 끼치는 다양한 요인들을 분석하고 사업전략과 경영관리 방법을 모색합니다.
시설을 계획하고 설계하며 새로운 기계, 설비를 연구하고 적용합니다.","산업공학기술자는 기업경영에 대하여 사회과학적 전문 지식과 자연과학적 원리를 응용하여 경영의 여러 요소를 과학적으로 분석하고 조정하는 업무를 수행합니다.
생산을 위한 최적의 수준을 결정하고 기계, 원자재, 자원의 최적 활용을 위한 프로그램을 실행합니다.
경영 기획, 기술 전략, 경영 정보 시스템 분야 등에서 회사에 영향을 끼치는 다양한 요인들을 분석하고 사업전략과 경영관리 방법을 모색합니다.
시설을 계획하고 설계하며 새로운 기계, 설비를 연구하고 적용합니다.  "
